"BROAD_ID"	"model_name"
"SIDM00136"	"ACH-000552"	"HT-29"
"SIDM00841"	"ACH-000651"	"SW620"
"SIDM00980"	"ACH-000948"	"23132-87"
"SIDM00803"	"ACH-000411"	"769-P"
"SIDM00797"	"ACH-000788"	"A2058"
"SIDM00899"	"ACH-000222"	"AsPC-1"
"SIDM00898"	"ACH-000248"	"AU565"
"SIDM00986"	"ACH-000548"	"BHY"
"SIDM00485"	"ACH-000794"	"BICR22"
"SIDM00501"	"ACH-001332"	"BICR78"
"SIDM01233"	"ACH-000009"	"C2BBe1"
"SIDM00937"	"ACH-000832"	"CAL-27"
"SIDM00942"	"ACH-000518"	"CAL-33"
"SIDM00957"	"ACH-000350"	"COLO-678"
"SIDM00512"	"ACH-000662"	"COR-L23"
"SIDM00950"	"ACH-000243"	"DAN-G"
"SIDM00831"	"ACH-000207"	"Detroit562"
"SIDM01052"	"ACH-000308"	"EFO-21"
"SIDM01051"	"ACH-000936"	"EFO-27"
"SIDM01044"	"ACH-000585"	"EPLC-272H"
"SIDM00861"	"ACH-000906"	"ES-2"
"SIDM00539"	"ACH-001496"	"ESO26"
"SIDM00860"	"ACH-000846"	"FADU"
"SIDM01041"	"ACH-001500"	"FLO-1"
"SIDM00598"	"ACH-000843"	"HARA"
"SIDM01072"	"ACH-000878"	"HCC-15"
"SIDM00866"	"ACH-000374"	"HCC1143"
"SIDM00875"	"ACH-000624"	"HCC1806"
"SIDM00874"	"ACH-000223"	"HCC1937"
"SIDM00872"	"ACH-000859"	"HCC1954"
"SIDM00290"	"ACH-000847"	"HGC-27"
"SIDM00133"	"ACH-000861"	"HOP-62"
"SIDM00135"	"ACH-000148"	"Hs-578-T"
"SIDM00589"	"ACH-000778"	"HSC-3"
"SIDM00541"	"ACH-000926"	"HT55"
"SIDM00533"	"ACH-000118"	"HuP-T3"
"SIDM00305"	"ACH-000132"	"JHOS-2"
"SIDM00303"	"ACH-000584"	"JHOS-4"
"SIDM01037"	"ACH-000711"	"JIMT-1"
"SIDM00686"	"ACH-000293"	"KLE"
"SIDM00150"	"ACH-000969"	"KM12"
"SIDM00608"	"ACH-000714"	"KMS-11"
"SIDM00606"	"ACH-000858"	"KNS-62"
"SIDM00571"	"ACH-000108"	"KP-3"
"SIDM00301"	"ACH-000265"	"KP-4"
"SIDM00556"	"ACH-000227"	"KP-N-YN"
"SIDM00554"	"ACH-000524"	"KURAMOCHI"
"SIDM01032"	"ACH-000823"	"KYSE-140"
"SIDM01031"	"ACH-000855"	"KYSE-150"
"SIDM01029"	"ACH-000873"	"KYSE-270"
"SIDM01028"	"ACH-000809"	"KYSE-410"
"SIDM01027"	"ACH-000865"	"KYSE-450"
"SIDM01026"	"ACH-000824"	"KYSE-510"
"SIDM01025"	"ACH-000637"	"KYSE-520"
"SIDM01024"	"ACH-000784"	"KYSE-70"
"SIDM00312"	"ACH-000183"	"L-363"
"SIDM00548"	"ACH-000769"	"LK-2"
"SIDM00839"	"ACH-000950"	"LoVo"
"SIDM00340"	"ACH-000204"	"LP-1"
"SIDM00681"	"ACH-000252"	"LS-1034"
"SIDM00680"	"ACH-000957"	"LS-180"
"SIDM00677"	"ACH-000007"	"LS-513"
"SIDM00339"	"ACH-000787"	"LXF-289"
"SIDM00008"	"ACH-000796"	"MCAS"
"SIDM00148"	"ACH-000019"	"MCF7"
"SIDM00630"	"ACH-000876"	"MDA-MB-415"
"SIDM00629"	"ACH-000573"	"MDA-MB-436"
"SIDM00272"	"ACH-000910"	"MDA-MB-453"
